cell_id,chemistry,chemistry_code,nominal_capacity_ah,upper_cutoff_voltage,lower_cutoff_voltage,ambient_temperature_c,protocol_code,cell_age_group,num_cycles
cell_001,NMC,0,1.981025444459385,4.2,3.0,34.98655907399657,0,2,190
cell_002,NMC,0,1.9493714012885166,4.2,3.0,30.697878943969414,1,1,234
cell_003,NMC,0,2.0228560968109144,4.2,3.0,30.936397674741404,2,1,270
cell_004,NMC,0,1.9939631742400923,4.2,3.0,34.91274004081982,0,0,204
cell_005,NMC,0,2.022508665758427,4.2,3.0,19.426814887903568,1,0,206
cell_006,LFP,1,1.6237102943100687,3.6,2.5,35.11430816024196,2,0,275
cell_007,LFP,1,1.4914525874437248,3.6,2.5,31.52627616077158,0,1,192
cell_008,LFP,1,1.5476616351403134,3.6,2.5,18.852660685981554,1,1,252
cell_009,LFP,1,1.4582537770447832,3.6,2.5,34.747279287155216,2,1,182
cell_010,LFP,1,1.5111822939665975,3.6,2.5,34.49877221301386,0,1,254
